
=== Lancement : 2026-04-01 11:52:05.739553 ===
id f z x
1 -4333.150710 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0011001010100010001101000110111110110011110111100100100101110111111000110110101100111101010011100001
2 -4389.855607 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1001110010100111011101110101011010111010000011001000100110110010010011100001010110010001111000011011
3 -4978.069951 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0111111110011101011111010010110011000000000001111000111110011110011100001011001010110100110111100101
4 -4955.870898 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0101011100011000000001010000010100000100000100110011101001001101011100101010001011011011010110100001
5 -4618.005230 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1100001101010110100001010101001100001101000100010100000111001100111010100100011001101011010000000010
6 -4889.563832 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1010100010111011110000101011110000000010011110000101111101110011001111000100110111010110000000010110
7 -4703.405525 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1000100101001100000111010110001000001110001011001100100111011010001011101111001001111000111101001011
8 -4449.117647 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0101110100001100101000000001110000110001101101000000100000101100010000011100001101000011110101001111
9 -5432.044879 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0011110101111101101110100101010011011010100011011010111101110010000111100111101101010100011101110101
10 -5162.210208 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1000100111001000101110001100010111111011011000001010110110011111000101000101111001010011111000101000
11 -4071.971891 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1100001101100110000010011111100110001001001010110011010110101100010101110010000010111001100110101010
12 -5149.994295 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1000111001111000010001111010100111110110010011001010010000100101110001100101101110010100100000110000
13 -4114.659947 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1010011111001110110000000100010110011111010111101101000011000000100110001001001000011001110011001010
14 -5066.784070 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0100100111010001001000101011110111001010111111011110010111110010100111000100100010111010111111111001
15 -4616.159546 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1010100011111010011001001110110011011110110000001011010111000000110011100111101100101110010111100110
16 -5406.021410 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1100000000111011101010001100101000011101010110100111000101101011000010111100100100111110111011001011
17 -4228.858921 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1101010001101101000000000011011001010110110001011010100011100111011100001000101101100100100100001000
18 -4614.609550 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 1001011000100000010111000011011100001011110110111111011011011110010000001110111000001011000110000000
19 -5969.256847 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0111000011001110010000010100010011001001001110110011000111001000100101011111011010101001000010100000
20 -4975.165818 "0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000" 0110111010001011110001001110101100111110010010011111100111011010000011100111100000111001100010001010
