algorithme,instance,run,f
random_search,7,14,-10224.204043
random_search,7,15,-10096.19385
random_search,7,16,-10152.776844
random_search,7,17,-12356.902686
random_search,7,18,-11292.847967
random_search,7,19,-11877.456757
random_search,7,20,-11137.449764
random_search,7,21,-11060.138246
random_search,7,22,-12147.310093
random_search,7,23,-12095.581238
random_search,7,24,-10576.578579
random_search,7,25,-10573.270083
random_search,7,26,-9944.480021
random_search,7,27,-13730.843063
random_search,7,28,-10810.68225
random_search,7,29,-11499.327125
random_search,8,0,-7640.504279
random_search,8,1,-6636.172645
random_search,8,2,-6744.357543
random_search,8,3,-6577.659259
random_search,8,4,-6765.150454
random_search,8,5,-6393.399207
random_search,8,6,-6654.590709
random_search,8,7,-6180.306988
random_search,8,8,-6507.907001
random_search,8,9,-6533.324313
random_search,8,10,-6343.172654
random_search,8,11,-6912.773615
random_search,8,12,-6783.395193
random_search,8,13,-6347.593505
random_search,8,14,-6643.639649
random_search,8,15,-5669.651828
random_search,8,16,-6183.497539
random_search,8,17,-7500.278005
random_search,8,18,-6318.019315
random_search,8,19,-7448.169162
random_search,8,20,-6294.405677
random_search,8,21,-6843.159574
random_search,8,22,-6142.869716
random_search,8,23,-6208.455615
random_search,8,24,-7096.982926
random_search,8,25,-8865.86491
random_search,8,26,-5888.25885
random_search,8,27,-7029.357187
random_search,8,28,-6689.261021
random_search,8,29,-6663.475428
random_search,9,0,-10038.75132
random_search,9,1,-8562.187868
random_search,9,2,-7970.749275
random_search,9,3,-8375.705787
random_search,9,4,-8098.04039
random_search,9,5,-8856.445382
random_search,9,6,-8573.336008
random_search,9,7,-8815.163795
random_search,9,8,-7679.999819
random_search,9,9,-7421.022466
random_search,9,10,-7862.485696
random_search,9,11,-8506.115295
random_search,9,12,-9446.287125
random_search,9,13,-9302.090117
random_search,9,14,-8234.246874
random_search,9,15,-8251.189052
random_search,9,16,-8125.967757
random_search,9,17,-8715.363052
random_search,9,18,-9193.268158
random_search,9,19,-9136.181517
random_search,9,20,-10526.650652
random_search,9,21,-8954.309808
random_search,9,22,-8788.369772
random_search,9,23,-8140.505518
random_search,9,24,-8032.701615
random_search,9,25,-9278.098797
random_search,9,26,-8739.953823
random_search,9,27,-8277.62291
random_search,9,28,-7780.697174
random_search,9,29,-8092.001276
random_search,10,0,-7599.877946
random_search,10,1,-8184.775678
random_search,10,2,-9116.383964
random_search,10,3,-9547.782604
random_search,10,4,-8057.452959
random_search,10,5,-9049.921396
random_search,10,6,-8366.944219
random_search,10,7,-7419.793329
random_search,10,8,-10569.827304
random_search,10,9,-7939.275805
random_search,10,10,-9377.092936
random_search,10,11,-9128.056726
random_search,10,12,-8232.642637
random_search,10,13,-9379.05512
random_search,10,14,-8475.650945
random_search,10,15,-8207.342591
random_search,10,16,-8899.468967
random_search,10,17,-8668.694329
random_search,10,18,-8846.680252
random_search,10,19,-8640.733148
random_search,10,20,-10208.007611
random_search,10,21,-9171.570671
random_search,10,22,-7993.162383
random_search,10,23,-8214.527352
random_search,10,24,-11033.006437
random_search,10,25,-8071.27206
random_search,10,26,-8771.257977
random_search,10,27,-7940.024465
random_search,10,28,-9002.114805
random_search,10,29,-7870.792108
random_search,11,0,-11942.87947
random_search,11,1,-10818.795246
random_search,11,2,-10495.604826
random_search,11,3,-12443.759549
random_search,11,4,-11133.269535
random_search,11,5,-11753.780525
random_search,11,6,-12697.289195
random_search,11,7,-13887.050874
random_search,11,8,-10348.016769
random_search,11,9,-12729.915867
random_search,11,10,-14800.150711
random_search,11,11,-11256.845353
random_search,11,12,-12738.812334
random_search,11,13,-11491.696965
random_search,11,14,-11560.105667
random_search,11,15,-10328.394085
random_search,11,16,-11780.479609
random_search,11,17,-9766.144552
random_search,11,18,-12098.133888
random_search,11,19,-11502.962299
random_search,11,20,-11497.836804
random_search,11,21,-12064.940621
random_search,11,22,-14259.475136
random_search,11,23,-13955.96933
